Resultseientific,Resultseientific,TX_ID
0.000000,0.0000 x 10^0,201
-7942.000000,-7.9420 x 10^3,1330
8101.000000,8.1010 x 10^3,127
117.000000,1.1700 x 10^2,29
-8389.000000,-8.3890 x 10^3,173
0.379500,3.7950 x 10^-1,50
451.000000,4.5100 x 10^2,181
0.092800,9.2800 x 10^-2,83
823.000000,8.2300 x 10^2,4
-8095.000000,-8.0950 x 10^3,1308
1066122.000000,1.0661 x 10^6,69
-7950.000000,-7.9500 x 10^3,113
0.661600,6.6160 x 10^-1,132
0.075600,7.5600 x 10^-2,53
2113308.000000,2.1133 x 10^6,126
0.108600,1.0860 x 10^-1,55
0.096800,9.6800 x 10^-2,107
-3710.000000,-3.7100 x 10^3,137
0.080500,8.0500 x 10^-2,106
3460.000000,3.4600 x 10^3,131
244.000000,2.4400 x 10^2,112
0.469700,4.6970 x 10^-1,54
0.018200,1.8200 x 10^-2,208
-4921.000000,-4.9210 x 10^3,25
0.091000,9.1000 x 10^-2,1341
1.004700,1.0047 x 10^0,14
180.000000,1.8000 x 10^2,180
725.000000,7.2500 x 10^2,26
0.086300,8.6300 x 10^-2,196
0.218400,2.1840 x 10^-1,229
2.000000,2.0000 x 10^0,12
126.000000,1.2600 x 10^2,72
-8153.000000,-8.1530 x 10^3,73
0.083000,8.3000 x 10^-2,373
4472.000000,4.4720 x 10^3,214
744.000000,7.4400 x 10^2,174
1302078.000000,1.3021 x 10^6,144
5991.000000,5.9910 x 10^3,222
2498894.000000,2.4989 x 10^6,15
3141480.000000,3.1415 x 10^6,57
9633.000000,9.6330 x 10^3,108
0.034400,3.4400 x 10^-2,209
-8593.000000,-8.5930 x 10^3,128
525760.000000,5.2576 x 10^5,59
154.000000,1.5400 x 10^2,109
7425.000000,7.4250 x 10^3,215
583.000000,5.8300 x 10^2,114
-3214.000000,-3.2140 x 10^3,134
10237.000000,1.0237 x 10^4,407
0.000000,0.0000 x 10^0,31
2910.000000,2.9100 x 10^3,302
0.000000,0.0000 x 10^0,167
3786627.000000,3.7866 x 10^6,76
2750.000000,2.7500 x 10^3,17
0.043100,4.3100 x 10^-2,65
262.000000,2.6200 x 10^2,203
3707.000000,3.7070 x 10^3,116
10317.000000,1.0317 x 10^4,74
5147.000000,5.1470 x 10^3,224
-5705.000000,-5.7050 x 10^3,45
-5925.000000,-5.9250 x 10^3,361
359.000000,3.5900 x 10^2,145
0.212000,2.1200 x 10^-1,1366
0.481100,4.8110 x 10^-1,58
0.000000,0.0000 x 10^0,56
0.000000,0.0000 x 10^0,202
0.356000,3.5600 x 10^-1,129
753.000000,7.5300 x 10^2,182
0.000000,0.0000 x 10^0,217
0.000000,0.0000 x 10^0,8
0.003500,3.5000 x 10^-3,183
986.000000,9.8600 x 10^2,1387
0.000000,0.0000 x 10^0,230
871.000000,8.7100 x 10^2,2
286.000000,2.8600 x 10^2,234
0.000000,0.0000 x 10^0,62
0.117300,1.1730 x 10^-1,28
0.112600,1.1260 x 10^-1,11
-6202.000000,-6.2020 x 10^3,130
1490.000000,1.4900 x 10^3,16
686.000000,6.8600 x 10^2,41
0.137600,1.3760 x 10^-1,197
791845.000000,7.9185 x 10^5,18
-4620.000000,-4.6200 x 10^3,231
60.000000,6.0000 x 10^1,480
7837.000000,7.8370 x 10^3,1386
978.000000,9.7800 x 10^2,111
8758.000000,8.7580 x 10^3,408
291967.000000,2.9197 x 10^5,184
-7964.000000,-7.9640 x 10^3,133
4544.000000,4.5440 x 10^3,1367
4128.000000,4.1280 x 10^3,374
956.000000,9.5600 x 10^2,71
197.000000,1.9700 x 10^2,1331
0.000000,0.0000 x 10^0,223
4642.000000,4.6420 x 10^3,105
2857.000000,2.8570 x 10^3,220
-5675.000000,-5.6750 x 10^3,146
0.050900,5.0900 x 10^-2,255
0.000000,0.0000 x 10^0,1297
4570416.000000,4.5704 x 10^6,75
0.000000,0.0000 x 10^0,186
5589.000000,5.5890 x 10^3,1309
0.116400,1.1640 x 10^-1,63
1140432.000000,1.1404 x 10^6,30
934.000000,9.3400 x 10^2,212
266992.000000,2.6699 x 10^5,254
1861.000000,1.8610 x 10^3,213
592.000000,5.9200 x 10^2,3
3565782.000000,3.5658 x 10^6,88
508.000000,5.0800 x 10^2,82
372.000000,3.7200 x 10^2,94
3071.000000,3.0710 x 10^3,24
-4919.000000,-4.9190 x 10^3,95
1727.000000,1.7270 x 10^3,89
9186.000000,9.1860 x 10^3,96
4458.000000,4.4580 x 10^3,21
0.628000,6.2800 x 10^-1,90
39.000000,3.9000 x 10^1,92
28728.000000,2.8728 x 10^4,97
0.614500,6.1450 x 10^-1,84
1194480.000000,1.1945 x 10^6,34
0.000000,0.0000 x 10^0,99
0.000000,0.0000 x 10^0,85
0.007900,7.9000 x 10^-3,13
3830.000000,3.8300 x 10^3,93
-6552.000000,-6.5520 x 10^3,98
414.000000,4.1400 x 10^2,86
9607.000000,9.6070 x 10^3,40
0.000000,0.0000 x 10^0,198
386304.000000,3.8630 x 10^5,138
576.000000,5.7600 x 10^2,37
179323.000000,1.7932 x 10^5,87
0.000000,0.0000 x 10^0,104
0.126800,1.2680 x 10^-1,101
8208.000000,8.2080 x 10^3,9
0.545700,5.4570 x 10^-1,100
1945680.000000,1.9457 x 10^6,36
0.054200,5.4200 x 10^-2,91
0.000000,0.0000 x 10^0,39
8271.000000,8.2710 x 10^3,139
0.331800,3.3180 x 10^-1,38
8734430.000000,8.7344 x 10^6,140
-3122.000000,-3.1220 x 10^3,102
67.000000,6.7000 x 10^1,240
4823.000000,4.8230 x 10^3,142
38.000000,3.8000 x 10^1,199
0.000000,0.0000 x 10^0,170
270.000000,2.7000 x 10^2,171
751.000000,7.5100 x 10^2,103
2804648.000000,2.8046 x 10^6,42
0.749100,7.4910 x 10^-1,43
0.000000,0.0000 x 10^0,141
404.000000,4.0400 x 10^2,143
0.000000,0.0000 x 10^0,200
0.137100,1.3710 x 10^-1,172
-496.000000,-4.9600 x 10^2,221
0.000000,0.0000 x 10^0,5
188240.000000,1.8824 x 10^5,61
-3198.000000,-3.1980 x 10^3,44
0.015500,1.5500 x 10^-2,225
3015.000000,3.0150 x 10^3,204
119.000000,1.1900 x 10^2,149
541.000000,5.4100 x 10^2,150
167409.000000,1.6741 x 10^5,205
0.000000,0.0000 x 10^0,176
0.000000,0.0000 x 10^0,177
-5696.000000,-5.6960 x 10^3,178
0.073900,7.3900 x 10^-2,179
-6799.000000,-6.7990 x 10^3,151
316.000000,3.1600 x 10^2,188
564.000000,5.6400 x 10^2,46
0.000000,0.0000 x 10^0,48
0.000000,0.0000 x 10^0,152
784.000000,7.8400 x 10^2,49
250952.000000,2.5095 x 10^5,153
9485.000000,9.4850 x 10^3,10
59.000000,5.9000 x 10^1,67
0.000000,0.0000 x 10^0,1
0.000000,0.0000 x 10^0,66
0.000000,0.0000 x 10^0,68
0.105200,1.0520 x 10^-1,51
991.000000,9.9100 x 10^2,227
0.000000,0.0000 x 10^0,189
0.000000,0.0000 x 10^0,226
639.000000,6.3900 x 10^2,52
-3786.000000,-3.7860 x 10^3,117
977.000000,9.7700 x 10^2,125
1083.000000,1.0830 x 10^3,191
0.622300,6.2230 x 10^-1,195
1132512.000000,1.1325 x 10^6,7
0.767700,7.6770 x 10^-1,190
3126735.000000,3.1267 x 10^6,154
0.000000,0.0000 x 10^0,115
0.087200,8.7200 x 10^-2,207
0.020100,2.0100 x 10^-2,194
6119790.000000,6.1198 x 10^6,228
8750.000000,8.7500 x 10^3,19
0.000000,0.0000 x 10^0,136
369.000000,3.6900 x 10^2,77
0.044700,4.4700 x 10^-2,122
420355.000000,4.2036 x 10^5,155
-5631.000000,-5.6310 x 10^3,78
0.000000,0.0000 x 10^0,121
162.000000,1.6200 x 10^2,22
5802.000000,5.8020 x 10^3,232
0.000000,0.0000 x 10^0,35
224848.000000,2.2485 x 10^5,23
-2954.000000,-2.9540 x 10^3,123
0.000000,0.0000 x 10^0,119
-365.000000,-3.6500 x 10^2,185
443700.000000,4.4370 x 10^5,216
9901.000000,9.9010 x 10^3,233
552.000000,5.5200 x 10^2,79
-5582.000000,-5.5820 x 10^3,235
0.000000,0.0000 x 10^0,218
0.000000,0.0000 x 10^0,192
9200.000000,9.2000 x 10^3,324
0.050500,5.0500 x 10^-2,219
0.097800,9.7800 x 10^-2,236
3191.000000,3.1910 x 10^3,367
50.000000,5.0000 x 10^1,362
819.000000,8.1900 x 10^2,282
195.000000,1.9500 x 10^2,27
-75.000000,-7.5000 x 10^1,210
625.000000,6.2500 x 10^2,211
-8793.000000,-8.7930 x 10^3,120
831.000000,8.3100 x 10^2,80
681.000000,6.8100 x 10^2,147
0.284200,2.8420 x 10^-1,20
-9606.000000,-9.6060 x 10^3,283
740000.000000,7.4000 x 10^5,237
1371.000000,1.3710 x 10^3,241
228.000000,2.2800 x 10^2,81
959.000000,9.5900 x 10^2,239
323.000000,3.2300 x 10^2,325
9178.000000,9.1780 x 10^3,175
322.000000,3.2200 x 10^2,326
58.000000,5.8000 x 10^1,242
0.229700,2.2970 x 10^-1,285
-9296.000000,-9.2960 x 10^3,193
2037490.000000,2.0375 x 10^6,168
0.057500,5.7500 x 10^-2,156
0.016700,1.6700 x 10^-2,70
0.000000,0.0000 x 10^0,60
8057.000000,8.0570 x 10^3,124
0.056700,5.6700 x 10^-2,390
7005.000000,7.0050 x 10^3,286
0.049800,4.9800 x 10^-2,404
